no,level,salary,huyou,jukyo,tsukin,nichgakutokukin,jikangai,yakan,kanri,kanritokukin,bonus,shoteate,jinkenhi
1,Åh05,393216,0,15300,9800,13300,3928,0,0,0,1325158,689925,8171479
2,Åh05,401678,0,18100,8590,0,97889,0,0,0,1348159,701900,8943555
3,Åh05,400556,0,30100,9800,0,14292,0,0,0,1346493,701032,8081293
4,Åh07,403931,14000,15300,12200,0,0,0,73737,0,1473977,746557,9158538
5,Åh07,401183,0,15300,13113,0,0,0,73737,0,1427942,744081,8895899
6,Åh05,399558,14000,15300,21731,0,0,0,0,0,1386112,700166,8088858
7,Åh05,401117,0,18100,9963,0,0,0,0,0,1347326,701466,7776560
8,Åh05,400057,14000,15300,14160,3610,10707,13566,0,0,1386945,700600,8340577
9,Åh05,401117,26800,15300,9251,0,0,0,0,0,1426352,701466,8173634
10,Åh05,388715,0,30100,0,1800,0,0,0,0,1307104,680525,7594749
11,Åh05,392766,0,18100,5000,2780,0,0,0,0,1314071,684152,7587547
12,Åh05,398852,0,0,3780,3600,389113,0,0,0,1337621,696413,12152518
13,Åh07,395626,7800,15300,20951,0,0,0,73737,0,1422939,729490,9000505
14,Åh07,398215,14000,18100,0,0,0,0,73737,0,1451695,734948,8935023
15,Åh05,382509,0,30100,7400,1800,0,0,0,0,1271101,661781,7545402
16,Åh05,396857,0,18100,5000,4100,10620,9204,0,0,1334294,694681,8431647
